Borough,Neighborhood,ZIP,Latitude,Longitude,Avg. Land Price
Kramat Jati,"Balekambang, Batuampar, Cawang, Cililitan, Dukuh, Kampung Tengah, Kramat Jati","13530, 13520, 13630, 13640, 13550, 13540, 13510",-6.2826,106.8591," 9,348 "
Makasar,"Cipinang Melayu, Halim Perdana Kusumah, Kebon Pala, Makasar, Pinang Ranti","13620, 13610, 13650, 13570, 13560",-6.2712,106.8945," 6,878 "
Matraman,"Kayu Manis, Kebon Manggis, Pal Meriam, Pisangan Baru, Utan Kayu Selatan, Utan Kayu Utara","13130, 13150, 13140, 13110, 13120",-6.2033,106.8621," 9,438 "
Pasar Rebo,"Baru, Cijantung, Gedong, Kalisari, Pekayon","13780, 13770, 13760, 13790, 13710",-6.3262,106.8562," 4,486 "
Pulo Gadung,"Cipinang, Jati, Jatinegara Kaum, Kayu Putih, Pisangan Timur, Pulo Gadung, Rawamangun","13240, 13220, 13250, 13210, 13230, 13260",-6.1936,106.8912," 9,399 "
Cilincing,"Cilincing, Kali Baru, Marunda, Rorotan, Semper Barat, Semper Timur, Sukapura","14120, 14110, 14150, 14140, 14130",-6.1214,106.9477," 4,703 "
Kelapa Gading,"Kelapa Gading Barat, Kelapa Gading Timur, Pegangsaan Dua","14240, 14250",-6.1605,106.9055," 23,834 "
Koja,"Koja (Utara, Selatan), Lagoa, Rawa Badak Selatan, Rawa Badak Utara, Tugu Selatan, Tugu Utara","14210, 14270, 14230, 14260",-6.1177,106.9063," 8,464 "
Pademangan,"Ancol, Pademangan Barat, Pademangan Timur","14430, 14420, 14410",-6.1326,106.8385," 17,697 "
Penjaringan,"Kamal Muara, Kapuk Muara, Pejagalan, Penjaringan, Pluit","14470, 14460, 14450, 14440",-6.1267,106.7824," 12,511 "
Tanjung Priok,"Kebon Bawang, Papanggo, Sungai Bambu, Sunter Agung, Sunter Jaya, Tanjung Priok, Warakas","14320, 14340, 14330, 14350, 14360, 14310, 14370",-6.1321,106.8715," 11,832 "
